# Program:featureCounts v1.4.6-p3; Command:"/usr/local/bin/subread-1.4.6-p3-Linux-x86_64/bin/featureCounts" "-p" "-t" "gene" "-g" "ID" "-T" "16" "-s" "1" "-a" "results/counts/gencode.gff" "-o" "results/counts/SRR10379723.txt" "results/mapping/SRR10379723_aligned.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRR10379723_aligned.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	12918
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	11019
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	823
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	9770
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	23993
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	31602
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	4597
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	2072
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	1231
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	131
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	125
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	814
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	3391
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	22168
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	5620
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	8627
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	6752
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	36
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	155
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	2538
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	8060
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	8929
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	7245
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	1562
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1207
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	342
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	865
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	3
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	16
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	964
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	29584
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	124
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	15984
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	3216
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	25352
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	48261
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	42498
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	124
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	1857
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	16
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	493
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	247
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	95
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	1512
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	112
