# Program:featureCounts v1.4.6-p3; Command:"/usr/local/bin/subread-1.4.6-p3-Linux-x86_64/bin/featureCounts" "-p" "-t" "gene" "-g" "ID" "-T" "16" "-s" "1" "-a" "results/counts/gencode.gff" "-o" "results/counts/SRR10379726.txt" "results/mapping/SRR10379726_aligned.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRR10379726_aligned.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	3941
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	2075
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	120
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	838
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	3484
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	3967
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	1203
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	293
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	13343
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	264
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	294
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1870
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	1160
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	5766
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	1042
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	6288
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	3211
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	129
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	197
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	916
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	6156
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	1984
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	2075
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	364
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	657
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	16
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	676
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	3
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	13
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	293
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	309
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	18
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	138
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	15
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	36
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	272
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	3301
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	14
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	1977
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	6
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	57
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	42
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	24
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	58
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	61
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	27
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	42
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	328
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	111
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	194
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	17
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	28
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	42
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	39
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	463
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	279
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	400
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	757
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	716
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	3
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	26
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	306
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	2159
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	876
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	50
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	1664
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	130
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	48
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	17
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	77
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	92
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	130
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	79
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	183
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	167
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	167
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	201
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	0
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	16
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	57
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	10209
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	0
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	3
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	11
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	7
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	4
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	137
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	338
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	15885
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	249
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	3
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	344
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	350
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	3709
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	6258
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	24
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	4
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	8
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	5
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	293
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	465
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	0
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	3
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	5
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	40
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	54
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	5722
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	1017
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	2244
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	2338
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	8759
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	4275
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	2411
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	5601
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	1686
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	1358
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	2213
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	725
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	4646
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	3292
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	1819
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	5615
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	5463
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	56
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	38
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	3094
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	174
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	10
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	114
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	10
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	58
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	17
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	290
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	287
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	84
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	316
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	14060
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	1046
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	1956
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	55
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	148
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	37
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	41
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	348
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	325
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	424
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	0
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	3478
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	1773
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	2484
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	2960
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	384
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	9
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	659
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	249
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	289
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	484
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	198
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	15
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	27
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	92
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	269
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	24
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	86
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	489
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	76
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	60
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	80
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	31
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	221
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	169
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	119
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	43
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	591
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	94
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	142
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	108
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	49122
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	26720
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	45
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	199
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	96
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	287
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	0
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	34
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	487
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	568
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	859
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	1250
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	4513
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	167
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	140
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	72
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	101
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	997
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	3
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	57667
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	10
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	564
