# Program:featureCounts v1.4.6-p3; Command:"/usr/local/bin/subread-1.4.6-p3-Linux-x86_64/bin/featureCounts" "-p" "-t" "gene" "-g" "ID" "-T" "16" "-s" "1" "-a" "results/counts/gencode.gff" "-o" "results/counts/SRR10379724.txt" "results/mapping/SRR10379724_aligned.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRR10379724_aligned.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	14052
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	12018
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1322
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	7550
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	12054
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	18806
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	3515
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	1186
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	40328
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	2083
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	1146
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	4607
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	6895
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	20817
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	5249
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	14317
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	8549
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	24
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	204
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3920
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	11337
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	10253
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	6832
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	1291
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	1006
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	63
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	1254
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	2
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	53
